id,levelType,level,group,round,name,type1,type2,heldItem,Move1,Move2,Move3,Move4,nature,ev,baseHp,baseAtk,baseDef,baseSpAtk,baseSpDef,baseSpeed,evHp,evAtk,evDef,evSpAtk,evSpDef,evSpeed
11,レベル50,50,1,1,ヒコザル,ほのお,,イトケのみ,かえんぐるま,からげんき,にらみつける,ねこだまし,いじっぱり,AS,44,58,44,58,44,61,0,252,0,0,0,252
12,レベル50,50,1,1,ポッチャマ,みず,,リンドのみ,バブルこうせん,つばめがえし,なきごえ,ちょうおんぱ,てれや,AC,53,51,53,61,56,40,0,252,0,252,0,0
13,レベル50,50,1,1,コロボーシ,むし,,チイラのみ,むしくい,がまん,どろかけ,なきごえ,のんき,HBD,37,25,41,25,41,25,170,0,170,0,170,0
14,レベル50,50,1,1,ピンプク,ノーマル,,オボンのみ,プレゼント,てんしのキッス,まねっこ,あまえる,いじっぱり,HB,100,5,5,15,65,30,252,0,252,0,0,0
15,レベル50,50,1,1,ミノムッチ,むし,,オボンのみ,むしくい,たいあたり,いびき,まもる,いじっぱり,HA,40,29,45,29,45,36,252,252,0,0,0,0
16,レベル50,50,1,1,ヌケニン,むし,ゴースト,のんきのおこう,かげうち,れんぞくぎり,あやしいひかり,すなかけ,いじっぱり,AS,1,90,45,30,30,40,0,252,0,0,0,252
17,レベル50,50,1,1,ムックル,ノーマル,ひこう,するどいくちばし,つばさでうつ,でんこうせっか,がむしゃら,なきごえ,いじっぱり,AS,40,55,30,30,30,60,0,252,0,0,0,252
18,レベル50,50,1,1,ミツハニー,むし,ひこう,ぎんのこな,むしくい,かぜおこし,あやしいかぜ,あまいかおり,まじめ,ACS,30,30,42,30,42,70,0,170,0,170,0,170
19,レベル50,50,1,1,ビッパ,ノーマル,,シルクのスカーフ,ずつき,ついばむ,なきごえ,あくび,いじっぱり,HA,59,45,40,35,40,31,252,252,0,0,0,0
20,レベル50,50,1,1,コリンク,でんき,,おうじゃのしるし,かみなりのキバ,かみつく,とおぼえ,にらみつける,いじっぱり,HA,45,65,34,40,34,45,252,252,0,0,0,0
21,レベル50,50,1,1,チェリンボ,くさ,,おはなのおこう,マジカルリーフ,どくどく,やどりぎのタネ,てだすけ,ひかえめ,CD,45,35,45,62,53,35,0,0,0,252,252,0
22,レベル50,50,1,1,スボミー,くさ,どく,おおきなねっこ,メガドレイン,どくどく,せいちょう,なやみのタネ,おだやか,CD,40,30,35,50,70,55,0,0,0,252,252,0
23,レベル50,50,1,1,リーシャン,エスパー,,まがったスプーン,ねんりき,スピードスター,かなしばり,なきごえ,ひかえめ,CD,45,30,50,65,50,45,0,0,0,252,252,0
24,レベル50,50,1,1,リオル,かくとう,,たつじんのおび,かわらわり,バレットパンチ,みやぶる,カウンター,いじっぱり,AS,40,70,40,35,40,60,0,252,0,0,0,252
25,レベル50,50,1,1,ウソハチ,いわ,,がんせきおこう,いわなだれ,けたぐり,まねっこ,すなあらし,いじっぱり,AB,50,80,95,10,45,10,0,252,252,0,0,0
26,レベル50,50,1,1,カゲボウズ,ゴースト,,のろいのおふだ,かげうち,はたきおとす,おにび,おんねん,いじっぱり,HA,44,75,35,63,33,45,252,252,0,0,0,0
27,レベル50,50,1,1,ヨマワル,ゴースト,,のろいのおふだ,かげうち,いたみわけ,おにび,あやしいひかり,いじっぱり,BD,20,40,90,30,90,25,0,0,252,0,252,0
28,レベル50,50,1,1,ロコン,ほのお,,ひかりのこな,ひのこ,スピードスター,おにび,あやしいひかり,おだやか,CD,38,41,40,50,65,65,0,0,0,252,252,0
29,レベル50,50,1,1,ピカチュウ,でんき,,オボンのみ,でんきショック,スピードスター,でんじは,かげぶんしん,ひかえめ,CS,35,55,30,50,40,90,0,0,0,252,0,252
30,レベル50,50,1,1,サンド,じめん,,やわらかいすな,あなをほる,がんせきふうじ,すなあらし,すなかけ,いじっぱり,AB,50,75,85,20,30,40,0,252,252,0,0,0
31,レベル50,50,1,1,イシツブテ,いわ,じめん,きあいのハチマキ,マグニチュード,ロックブラスト,かいりき,まもる,いじっぱり,AB,40,80,100,30,30,20,0,252,252,0,0,0
32,レベル50,50,1,1,ミニリュウ,ドラゴン,,クラボのみ,たつまき,みずのはどう,でんじは,ちょうおんぱ,ひかえめ,CD,41,64,45,50,50,50,0,0,0,252,252,0
33,レベル50,50,1,1,ブルー,ノーマル,,するどいツメ,ずつき,かみつく,いばる,こわいかお,いじっぱり,HA,60,80,50,40,40,30,252,252,0,0,0,0
34,レベル50,50,1,1,テッポウオ,みず,,ヤタピのみ,バブルこうせん,オーロラビーム,どろかけ,ちょうおんぱ,ひかえめ,CS,35,65,35,65,35,65,0,0,0,252,0,252
35,レベル50,50,1,1,ヨーギラス,いわ,じめん,チイラのみ,いわなだれ,あなをほる,かみつく,こわいかお,いじっぱり,HA,50,64,50,45,50,41,252,252,0,0,0,0
36,レベル50,50,1,1,ヤジロン,じめん,エスパー,まがったスプーン,サイケこうせん,どろかけ,げんしのちから,ひかりのかべ,ひかえめ,CD,40,40,55,40,70,55,0,0,0,252,252,0
37,レベル50,50,1,1,ユキワラシ,こおり,,おうじゃのしるし,こおりのキバ,ずつき,かみつく,まもる,いじっぱり,HA,50,50,50,50,50,50,252,252,0,0,0,0
38,レベル50,50,1,1,タツベイ,ドラゴン,,りゅうのキバ,りゅうのいぶき,ずつき,かわらわり,こわいかお,やんちゃ,AB,45,75,60,40,30,50,0,252,252,0,0,0
39,レベル50,50,1,1,ドーミラー,はがね,エスパー,あやしいおこう,ねんりき,ジャイロボール,げんしのちから,ふういん,ゆうかん,AC,57,24,86,24,86,23,0,252,0,252,0,0
40,レベル50,50,1,1,フカマル,ドラゴン,じめん,やわらかいすな,りゅうのいかり,すなじごく,メタルクロー,すなあらし,いじっぱり,HA,58,70,45,40,45,42,252,252,0,0,0,0
41,レベル50,50,1,1,グレッグル,どく,かくとう,くろいヘドロ,どくづき,めざましビンタ,ちょうはつ,いばる,いじっぱり,HA,48,61,40,61,40,50,252,252,0,0,0,0
42,レベル50,50,1,1,コンパン,むし,どく,ぎんのこな,むしくい,どくのこな,サイケこうせん,ちょうおんぱ,のんき,HC,60,55,50,40,55,45,252,0,0,252,0,0
43,レベル50,50,1,1,ワンリキー,かくとう,,ピントレンズ,からてチョップ,がんせきふうじ,みやぶる,こわいかお,いじっぱり,HA,70,80,50,35,35,35,252,252,0,0,0,0
44,レベル50,50,1,1,ムチュール,こおり,エスパー,ひかりのこな,ねんりき,こごえるかぜ,ねこだまし,てんしのキッス,おっとり,CS,45,30,15,85,65,65,0,0,0,252,0,252
45,レベル50,50,1,1,キバニア,みず,あく,クラボのみ,アクアジェット,かみつく,こわいかお,いばる,いじっぱり,HA,45,90,20,65,20,65,252,252,0,0,0,0
46,レベル50,50,1,1,ドンメル,ほのお,じめん,のんきのおこう,マグニチュード,ひのこ,がんせきふうじ,すなあらし,まじめ,AC,60,60,40,65,45,35,0,252,0,252,0,0
47,レベル50,50,1,1,ヘイガニ,みず,,モモンのみ,バブルこうせん,はさむ,はたきおとす,いばる,ゆうかん,HC,43,80,65,50,35,35,252,0,0,252,0,0
48,レベル50,50,1,1,ドードー,ノーマル,ひこう,チイラのみ,つばめがえし,でんこうせっか,だましうち,つぼをつく,ようき,AS,35,85,45,35,35,75,0,252,0,0,0,252
49,レベル50,50,1,1,チルット,ノーマル,ひこう,メンタルハーブ,エアカッター,スピードスター,オウムがえし,メロメロ,ひかえめ,CD,45,40,60,40,75,50,0,0,0,252,252,0
50,レベル50,50,1,1,ニャルマー,ノーマル,,するどいツメ,みだれひっかき,ねこだまし,だましうち,メロメロ,ようき,AS,49,55,42,42,37,85,0,252,0,0,0,252
51,レベル50,50,1,1,マネネ,エスパー,,のんきのおこう,まねっこ,ねんりき,バリアー,ひかりのかべ,ずぶとい,CD,20,25,45,70,90,60,0,0,0,252,252,0
52,レベル50,50,1,1,ヤドン,みず,エスパー,クラボのみ,みずのはどう,ねんりき,かなしばり,あくび,ひかえめ,HC,90,65,65,40,40,15,252,0,0,252,0,0
53,レベル50,50,1,1,ナゾノクサ,くさ,どく,おはなのおこう,メガドレイン,ようかいえき,あまいかおり,つきのひかり,ずぶとい,CD,45,50,55,75,65,30,0,0,0,252,252,0
54,レベル50,50,1,1,コダック,みず,,カゴのみ,みずでっぽう,ねんりき,みずあそび,かなしばり,ひかえめ,HC,50,52,48,65,50,55,252,0,0,252,0,0
55,レベル50,50,1,1,カラカラ,じめん,,やわらかいすな,ホネこんぼう,ずつき,かわらわり,にらみつける,いじっぱり,AB,50,50,95,40,50,35,0,252,252,0,0,0
56,レベル50,50,1,1,トサキント,みず,,ヤタピのみ,みずのはどう,サイケこうせん,ちょうおんぱ,あまごい,ひかえめ,BC,45,67,60,35,50,63,0,0,252,252,0,0
57,レベル50,50,1,1,ネイティ,エスパー,ひこう,まがったスプーン,ナイトヘッド,エアカッター,あやしいかぜ,みらいよち,おくびょう,CS,40,50,45,70,45,70,0,0,0,252,0,252
58,レベル50,50,1,1,ピッピ,ノーマル,,ひかりのこな,めざましビンタ,このゆびとまれ,アンコール,うたう,いじっぱり,HA,70,45,48,60,65,35,252,252,0,0,0,0
59,レベル50,50,1,1,コイル,でんき,はがね,チーゴのみ,でんげきは,ミラーショット,きんぞくおん,リフレクター,ずぶとい,BC,25,35,70,95,55,45,0,0,252,252,0,0
60,レベル50,50,1,1,パウワウ,みず,,ナナシのみ,アクアジェット,こおりのつぶて,ねこだまし,アンコール,いじっぱり,AD,65,45,55,45,70,45,0,252,0,0,252,0
61,レベル50,50,1,1,ベトベター,どく,,くろいヘドロ,どくどく,かげうち,とける,ちいさくなる,いじっぱり,HA,80,80,50,40,50,25,252,252,0,0,0,0
62,レベル50,50,1,1,クラブ,みず,,モモンのみ,バブルこうせん,はさむ,にらみつける,まもる,れいせい,BC,30,105,90,25,25,50,0,0,252,252,0,0
63,レベル50,50,1,1,タマタマ,くさ,エスパー,あやしいおこう,ねんりき,くさむすび,やどりぎのタネ,ひかりのかべ,ひかえめ,BC,60,40,80,60,45,40,0,0,252,252,0,0
64,レベル50,50,1,1,イーブイ,ノーマル,,カムラのみ,とっしん,かみつく,じたばた,こらえる,ようき,AS,55,55,50,45,65,55,0,252,0,0,0,252
65,レベル50,50,1,1,カラナクシ,みず,,のんきのおこう,みずのはどう,どろかけ,こごえるかぜ,かたくなる,ずぶとい,HC,76,48,48,57,62,34,252,0,0,252,0,0
66,レベル50,50,1,1,スリープ,エスパー,,チーゴのみ,サイケこうせん,ねこのて,かなしばり,バリアー,ひかえめ,CD,60,48,45,43,90,42,0,0,0,252,252,0
67,レベル50,50,1,1,スカンプー,どく,あく,くろいメガネ,おいうち,どくどく,きりさく,えんまく,いじっぱり,AS,63,63,47,41,41,74,0,252,0,0,0,252
68,レベル50,50,1,1,ビリリダマ,でんき,,ヤタピのみ,でんげきは,スピードスター,でんじは,ひかりのかべ,ひかえめ,CS,40,30,50,55,55,100,0,0,0,252,0,252
69,レベル50,50,1,1,チョンチー,みず,でんき,じしゃく,でんげきは,バブルこうせん,こごえるかぜ,でんじは,ひかえめ,HC,75,38,38,56,56,67,252,0,0,252,0,0
70,レベル50,50,1,1,ヒメグマ,ノーマル,,カゴのみ,ひみつのちから,だましうち,メロメロ,ねむる,わんぱく,HA,60,80,50,50,50,40,252,252,0,0,0,0
71,レベル50,50,1,1,デリバード,こおり,ひこう,とけないこおり,プレゼント,アイスボール,つばめがえし,あられ,いじっぱり,AS,45,55,45,65,45,75,0,252,0,0,0,252
72,レベル50,50,1,1,デルビル,あく,ほのお,もくたん,ほのおのキバ,かみつく,ほえる,おにび,いじっぱり,AS,45,60,30,80,50,65,0,252,0,0,0,252
73,レベル50,50,1,1,ゴマゾウ,じめん,,メトロノーム,ころがる,がんせきふうじ,まるくなる,すなあらし,いじっぱり,HA,90,60,60,40,40,40,252,252,0,0,0,0
74,レベル50,50,1,1,ココドラ,はがね,いわ,メタルコート,メタルクロー,がんせきふうじ,てっぺき,まもる,わんぱく,AB,50,70,100,40,40,30,0,252,252,0,0,0
75,レベル50,50,1,1,バネブー,エスパー,,オボンのみ,サイコウェーブ,スピードスター,マジックコート,あやしいひかり,ひかえめ,CD,60,25,35,70,80,60,0,0,0,252,252,0
76,レベル50,50,1,1,ラブカス,みず,,しめったいわ,みずのはどう,メロメロ,てんしのキッス,あまごい,おくびょう,CS,43,30,55,40,65,97,0,0,0,252,0,252
77,レベル50,50,1,1,ブイゼル,みず,,さざなみのおこう,アクアジェット,でんこうせっか,おいうち,なきごえ,ようき,AS,55,65,35,60,30,85,0,252,0,0,0,252
78,レベル50,50,1,1,ヒポポタス,じめん,,カゴのみ,あなをほる,がんせきふうじ,すなじごく,あくび,いじっぱり,HA,68,72,78,38,42,32,252,252,0,0,0,0
79,レベル50,50,1,1,スコルピ,どく,むし,どくバリ,どくどくのキバ,むしくい,かみつく,どくびし,わんぱく,AB,40,50,90,30,55,65,0,252,252,0,0,0
80,レベル50,50,1,1,ケイコウオ,みず,,さざなみのおこう,みずのはどう,ぎんいろのかぜ,メロメロ,アクアリング,ひかえめ,CD,49,49,56,49,61,66,0,0,0,252,252,0
81,レベル50,50,1,1,ユキカブリ,くさ,こおり,とけないこおり,れいとうパンチ,はっぱカッター,くさぶえ,ねをはる,いじっぱり,HA,60,62,50,62,60,40,252,252,0,0,0,0
82,レベル50,50,1,1,メノクラゲ,みず,どく,クラボのみ,バブルこうせん,ようかいえき,ちょうおんぱ,バリアー,ひかえめ,CD,40,40,35,50,100,70,0,0,0,252,252,0
83,レベル50,50,1,1,サボネア,くさ,,ナナシのみ,ニードルアーム,だましうち,わたほうし,くさぶえ,いじっぱり,HA,50,85,40,85,40,35,252,252,0,0,0,0
84,レベル50,50,1,1,ドガース,どく,,どくバリ,ヘドロこうげき,サイケこうせん,えんまく,うらみ,ひかえめ,BC,40,65,95,60,45,35,0,0,252,252,0,0
85,レベル50,50,1,1,ヒトデマン,みず,,クラボのみ,バブルこうせん,たつまき,スピードスター,ひかりのかべ,おくびょう,CS,30,45,55,70,55,85,0,0,0,252,0,252
86,レベル50,50,1,1,ポポッコ,くさ,ひこう,おおきなねっこ,メガドレイン,つばめがえし,ねんりき,わたほうし,がんばりや,AC,55,45,50,45,65,80,0,252,0,252,0,0
87,レベル50,50,1,1,ハスブレロ,みず,くさ,しめったいわ,みずのはどう,メガドレイン,ねこだまし,あまごい,れいせい,CD,60,50,50,60,70,50,0,0,0,252,252,0
88,レベル50,50,1,1,コノハナ,くさ,あく,ナナシのみ,はっぱカッター,だましうち,いばる,かたくなる,いじっぱり,HA,70,70,40,60,40,60,252,252,0,0,0,0
89,レベル50,50,1,1,ビブラーバ,じめん,ドラゴン,ナナシのみ,りゅうのいぶき,どろかけ,あやしいかぜ,ちょうおんぱ,ひかえめ,CS,50,70,50,50,50,70,0,0,0,252,0,252
90,レベル50,50,1,1,ムクバード,ノーマル,ひこう,するどいくちばし,がむしゃら,つばさでうつ,でんこうせっか,ふきとばし,いじっぱり,AS,55,75,50,40,40,80,0,252,0,0,0,252
91,レベル50,50,1,1,サイホーン,じめん,いわ,キーのみ,あなをほる,ロックブラスト,こわいかお,しっぽをふる,いじっぱり,HAB,80,85,95,30,30,25,170,170,170,0,0,0
92,レベル50,50,1,1,パールル,みず,,しんかいのウロコ,うずしお,どくどく,てっぺき,まもる,ずぶとい,HB,35,64,85,74,55,32,252,0,252,0,0,0
93,レベル50,50,1,1,タマンタ,みず,ひこう,しんぴのしずく,バブルこうせん,つばめがえし,こごえるかぜ,こうそくいどう,がんばりや,CD,45,20,50,60,120,50,0,0,0,252,252,0
94,レベル50,50,1,1,フワンテ,ゴースト,ひこう,ヤタピのみ,あやしいかぜ,エアカッター,こごえるかぜ,おにび,ひかえめ,HC,90,50,34,60,44,70,252,0,0,252,0,0
95,レベル50,50,1,1,ピジョン,ノーマル,ひこう,チーゴのみ,つばさでうつ,でんこうせっか,フェザーダンス,オウムがえし,いじっぱり,AS,63,60,55,50,50,71,0,252,0,0,0,252
96,レベル50,50,1,1,ガーディ,ほのお,,もくたん,ほのおのキバ,かみつく,ほえる,こうそくいどう,いじっぱり,HA,55,70,45,70,50,60,252,252,0,0,0,0
97,レベル50,50,1,1,ズガイドス,いわ,,がんせきおこう,がんせきふうじ,おいうち,こわいかお,にらみつける,しんちょう,BD,67,125,40,30,30,58,0,0,252,0,252,0
98,レベル50,50,1,1,タテトプス,いわ,はがね,きあいのハチマキ,アイアンヘッド,がんせきふうじ,いばる,てっぺき,なまいき,AB,30,42,118,42,88,30,0,252,252,0,0,0
99,レベル50,50,1,1,ミミロル,ノーマル,,くろおび,ピヨピヨパンチ,ドレインパンチ,でんこうせっか,みやぶる,いじっぱり,AS,55,66,44,44,56,85,0,252,0,0,0,252
100,レベル50,50,1,1,カモネギ,ノーマル,ひこう,ながねぎ,きりさく,エアカッター,はたきおとす,つるぎのまい,いじっぱり,AD,52,65,55,58,62,60,0,252,0,0,252,0
101,レベル50,50,1,1,オムナイト,いわ,みず,モモンのみ,げんしのちから,みずでっぽう,マッドショット,まもる,ずぶとい,BC,35,40,100,90,55,35,0,0,252,252,0,0
102,レベル50,50,1,1,カブト,いわ,みず,チイラのみ,アクアジェット,がんせきふうじ,はたきおとす,きんぞくおん,いじっぱり,AB,30,80,90,55,45,55,0,252,252,0,0,0
103,レベル50,50,1,1,リリーラ,いわ,くさ,のんきのおこう,げんしのちから,くさむすび,ねをはる,あやしいひかり,おだやか,HBD,66,41,77,61,87,23,170,0,170,0,170,0
104,レベル50,50,1,1,アノプス,いわ,むし,メトロノーム,れんぞくぎり,ロックブラスト,メタルクロー,まもる,いじっぱり,AS,45,95,50,40,50,75,0,252,0,0,0,252
105,レベル50,50,1,1,エイパム,ノーマル,,シルクのスカーフ,ダブルアタック,とんぼがえり,でんじは,ねこだまし,いじっぱり,AS,55,70,55,40,55,85,0,252,0,0,0,252
106,レベル50,50,1,1,エレキッド,でんき,,クラボのみ,かみなりパンチ,からてチョップ,でんこうせっか,ひかりのかべ,ようき,AS,45,63,37,65,55,95,0,252,0,0,0,252
107,レベル50,50,1,1,ドゴーム,ノーマル,,キーのみ,ふみつけ,かみつく,とおぼえ,ちょうおんぱ,いじっぱり,HA,84,71,43,71,43,48,252,252,0,0,0,0
108,レベル50,50,1,1,パッチール,ノーマル,,シルクのスカーフ,ピヨピヨパンチ,ドレインパンチ,だましうち,フラフラダンス,いじっぱり,HA,60,60,60,60,60,60,252,252,0,0,0,0
109,レベル50,50,1,1,ノコッチ,ノーマル,,するどいツメ,ずつき,かみつく,うらみ,へびにらみ,いじっぱり,HA,100,70,70,65,65,45,252,252,0,0,0,0
110,レベル50,50,1,1,ニドリーナ,どく,,どくバリ,どくどくのキバ,にどげり,かみつく,おだてる,いじっぱり,HA,70,62,67,55,55,56,252,252,0,0,0,0
111,レベル50,50,1,1,ニドリーノ,どく,,きあいのハチマキ,どくどく,にどげり,からげんき,おだてる,いじっぱり,HA,61,72,57,55,55,65,252,252,0,0,0,0
112,レベル50,50,1,1,モココ,でんき,,ひかりのねんど,でんげきは,スピードスター,でんじは,ひかりのかべ,ひかえめ,HC,70,55,55,80,60,45,252,0,0,252,0,0
113,レベル50,50,1,1,ブビィ,ほのお,,モモンのみ,ほのおのパンチ,マッハパンチ,にらみつける,えんまく,いじっぱり,AS,45,75,37,70,55,83,0,252,0,0,0,252
114,レベル50,50,1,1,ノズパス,いわ,,かたいいし,げんしのちから,でんげきは,でんじは,すなあらし,ひかえめ,BC,30,45,135,45,90,30,0,0,252,252,0,0
115,レベル50,50,1,1,サニーゴ,みず,いわ,きあいのハチマキ,バブルこうせん,げんしのちから,ミラーコート,バリアー,ひかえめ,CD,55,55,85,65,85,35,0,0,0,252,252,0
116,レベル50,50,1,1,エネコロロ,ノーマル,,オボンのみ,ひみつのちから,だましうち,ねこだまし,みやぶる,いじっぱり,HA,70,65,65,55,55,70,252,252,0,0,0,0
117,レベル50,50,1,1,ヤミラミ,あく,ゴースト,くろいメガネ,だましうち,かげうち,ねこだまし,みきり,わんぱく,AB,50,75,75,65,65,50,0,252,252,0,0,0
118,レベル50,50,1,1,クチート,はがね,,ひかりのこな,アイアンヘッド,かみつく,くすぐる,てっぺき,わんぱく,HB,50,85,85,55,55,50,252,0,252,0,0,0
119,レベル50,50,1,1,コロトック,むし,,メトロノーム,れんぞくぎり,いわくだき,はたきおとす,きあいだめ,いじっぱり,HA,77,85,51,55,51,65,252,252,0,0,0,0
120,レベル50,50,1,1,バタフリー,むし,ひこう,モモンのみ,ぎんいろのかぜ,エアカッター,サイケこうせん,おいかぜ,ひかえめ,CD,60,45,50,80,80,70,0,0,0,252,252,0
121,レベル50,50,1,1,スピアー,むし,どく,ピントレンズ,ダブルニードル,どくどく,ダメおし,こうそくいどう,ようき,AD,65,80,40,45,80,75,0,252,0,0,252,0
122,レベル50,50,1,1,ニョロゾ,みず,,チイラのみ,バブルこうせん,おうふくビンタ,しろいきり,あまごい,きまぐれ,AC,65,65,65,50,50,90,0,252,0,252,0,0
123,レベル50,50,1,1,イワーク,いわ,じめん,かたいいし,いわなだれ,あなをほる,いやなおと,すなあらし,いじっぱり,AB,35,45,160,30,45,70,0,252,252,0,0,0
124,レベル50,50,1,1,ベロリンガ,ノーマル,,カゴのみ,ひみつのちから,がんせきふうじ,したでなめる,いやなおと,いじっぱり,HA,90,55,75,60,75,30,252,252,0,0,0,0
125,レベル50,50,1,1,アゲハント,むし,ひこう,ぎんのこな,ぎんいろのかぜ,エアカッター,メガドレイン,メロメロ,ひかえめ,CS,60,70,50,90,50,65,0,0,0,252,0,252
126,レベル50,50,1,1,ドクケイル,むし,どく,ぎんのこな,ぎんいろのかぜ,どくどく,サイケこうせん,ふきとばし,ひかえめ,CD,60,50,70,50,90,65,0,0,0,252,252,0
127,レベル50,50,1,1,ウツドン,くさ,どく,ピントレンズ,はっぱカッター,ようかいえき,まきつく,あまいかおり,れいせい,AC,65,90,50,85,45,55,0,252,0,252,0,0
128,レベル50,50,1,1,ゴローン,いわ,じめん,きあいのハチマキ,マグニチュード,がんせきふうじ,ステルスロック,まるくなる,いじっぱり,AB,55,95,115,45,45,35,0,252,252,0,0,0
129,レベル50,50,1,1,レディアン,むし,ひこう,するどいツメ,ぎんいろのかぜ,エアカッター,こうそくいどう,バトンタッチ,おくびょう,CD,55,35,50,55,110,85,0,0,0,252,252,0
130,レベル50,50,1,1,アリアドス,むし,どく,ぎんのこな,むしくい,どくどく,かげうち,クモのす,いじっぱり,HA,70,90,70,60,60,40,252,252,0,0,0,0
131,レベル50,50,1,1,ヤンヤンマ,むし,ひこう,のんきのおこう,ぎんいろのかぜ,エアカッター,かげぶんしん,みきり,おくびょう,CS,65,65,45,75,45,95,0,0,0,252,0,252
132,レベル50,50,1,1,ゴンベ,ノーマル,,オボンのみ,ゆびをふる,リサイクル,たくわえる,のみこむ,のんき,BD,135,85,40,40,85,5,0,0,252,0,252,0
133,レベル50,50,1,1,クサイハナ,くさ,どく,きせきのタネ,メガドレイン,ようかいえき,しびれごな,つきのひかり,ひかえめ,HC,60,65,70,85,75,40,252,0,0,252,0,0
134,レベル50,50,1,1,ポリゴン,ノーマル,,キーのみ,スピードスター,サイケこうせん,こごえるかぜ,リサイクル,ひかえめ,HC,65,60,70,85,75,40,252,0,0,252,0,0
135,レベル50,50,1,1,ポワルン,ノーマル,,キーのみ,ウェザーボール,にほんばれ,あまごい,あられ,おくびょう,CS,70,70,70,70,70,70,0,0,0,252,0,252
136,レベル50,50,1,1,バルビート,むし,,チイラのみ,とんぼがえり,でんこうせっか,あやしいひかり,てだすけ,ようき,AS,65,73,55,47,75,85,0,252,0,0,0,252
137,レベル50,50,1,1,イルミーゼ,むし,,ヤタピのみ,ぎんいろのかぜ,スピードスター,ねがいごと,てだすけ,おくびょう,CS,65,47,55,73,75,85,0,0,0,252,0,252
138,レベル50,50,1,1,ロゼリア,くさ,どく,くろいヘドロ,メガドレイン,どくどく,くさぶえ,わたほうし,ひかえめ,CD,50,60,45,100,80,65,0,0,0,252,252,0
139,レベル50,50,1,1,ホエルコ,みず,,うしおのおこう,みずのはどう,こごえるかぜ,ほえる,しろいきり,ひかえめ,CS,130,70,35,70,35,60,0,0,0,252,0,252
140,レベル50,50,1,1,パラセクト,むし,くさ,ナナシのみ,むしくい,くさむすび,ひっかく,しびれごな,ようき,DS,60,95,80,60,80,30,0,0,0,0,252,252
141,レベル50,50,1,1,ペラップ,ノーマル,ひこう,キーのみ,おしゃべり,スピードスター,うたう,オウムがえし,おだやか,DS,76,65,45,92,42,91,0,0,0,0,252,252
142,レベル50,50,1,1,ゴースト,ゴースト,どく,キーのみ,ナイトヘッド,どくどく,あやしいひかり,おんねん,おくびょう,CS,45,50,45,115,55,95,0,0,0,252,0,252
143,レベル50,50,1,1,トゲチック,ノーマル,ひこう,カゴのみ,エアカッター,スピードスター,マジカルリーフ,ねがいごと,おだやか,CD,55,40,85,80,105,40,0,0,0,252,252,0
144,レベル50,50,1,1,ヤミカラス,あく,ひこう,くろいメガネ,だましうち,つばさでうつ,いちゃもん,ちょうはつ,ようき,AS,60,85,42,85,42,91,0,252,0,0,0,252
145,レベル50,50,1,1,ソーナンス,エスパー,,きあいのハチマキ,カウンター,ミラーコート,あまえる,はねる,ようき,BDS,190,33,58,33,58,33,0,0,170,0,170,170
146,レベル50,50,1,1,プラスル,でんき,,ヤタピのみ,でんげきは,スピードスター,うそなき,てだすけ,おくびょう,CS,60,50,40,85,75,95,0,0,0,252,0,252
